,Story,Serial,Episode,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
182,39,3,13,The Ice Warriors,"""Three""†",Derek Martinus,Brian Hayles,1967-11-25,OO,7.4,51,5,Second Doctor,Patrick Troughton
183,39,3,14,The Ice Warriors,"""Four""",Derek Martinus,Brian Hayles,1967-12-02,OO,7.3,51,5,Second Doctor,Patrick Troughton
184,39,3,15,The Ice Warriors,"""Five""",Derek Martinus,Brian Hayles,1967-12-09,OO,8.0,50,5,Second Doctor,Patrick Troughton
185,39,3,16,The Ice Warriors,"""Six""",Derek Martinus,Brian Hayles,1967-12-16,OO,7.5,51,5,Second Doctor,Patrick Troughton
186,40,4,17,The Enemy of the World,"""Episode 1""",Barry Letts,David Whitaker,1967-12-23,PP,6.8,50,5,Second Doctor,Patrick Troughton
187,40,4,18,The Enemy of the World,"""Episode 2""",Barry Letts,David Whitaker,1967-12-30,PP,7.6,49,5,Second Doctor,Patrick Troughton
188,40,4,19,The Enemy of the World,"""Episode 3""",Barry Letts,David Whitaker,1968-01-06,PP,7.1,48,5,Second Doctor,Patrick Troughton
189,40,4,20,The Enemy of the World,"""Episode 4""",Barry Letts,David Whitaker,1968-01-13,PP,7.8,49,5,Second Doctor,Patrick Troughton
190,40,4,21,The Enemy of the World,"""Episode 5""",Barry Letts,David Whitaker,1968-01-20,PP,6.9,49,5,Second Doctor,Patrick Troughton
191,40,4,22,The Enemy of the World,"""Episode 6""",Barry Letts,David Whitaker,1968-01-27,PP,8.3,52,5,Second Doctor,Patrick Troughton
192,41,5,23,The Web of Fear,"""Episode 1""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-02-03,QQ,7.2,54,5,Second Doctor,Patrick Troughton
193,41,5,24,The Web of Fear,"""Episode 2""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-02-10,QQ,6.8,53,5,Second Doctor,Patrick Troughton
194,41,5,25,The Web of Fear,"""Episode 3""†",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-02-17,QQ,7.0,51,5,Second Doctor,Patrick Troughton
195,41,5,26,The Web of Fear,"""Episode 4""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-02-24,QQ,8.4,53,5,Second Doctor,Patrick Troughton
196,41,5,27,The Web of Fear,"""Episode 5""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-03-02,QQ,8.0,55,5,Second Doctor,Patrick Troughton
197,41,5,28,The Web of Fear,"""Episode 6""",Douglas Camfield,Mervyn Haisman and Henry Lincoln,1968-03-09,QQ,8.3,55,5,Second Doctor,Patrick Troughton
198,42,6,29,Fury from the Deep,"""Episode 1""†",Hugh David,Victor Pemberton,1968-03-16,RR,8.2,55,5,Second Doctor,Patrick Troughton
199,42,6,30,Fury from the Deep,"""Episode 2""†",Hugh David,Victor Pemberton,1968-03-23,RR,7.9,55,5,Second Doctor,Patrick Troughton
200,42,6,31,Fury from the Deep,"""Episode 3""†",Hugh David,Victor Pemberton,1968-03-30,RR,7.7,56,5,Second Doctor,Patrick Troughton
201,42,6,32,Fury from the Deep,"""Episode 4""†",Hugh David,Victor Pemberton,1968-04-06,RR,6.6,56,5,Second Doctor,Patrick Troughton
202,42,6,33,Fury from the Deep,"""Episode 5""†",Hugh David,Victor Pemberton,1968-04-13,RR,5.9,56,5,Second Doctor,Patrick Troughton
203,42,6,34,Fury from the Deep,"""Episode 6""†",Hugh David,Victor Pemberton,1968-04-20,RR,6.9,57,5,Second Doctor,Patrick Troughton
204,43,7,35,The Wheel in Space,"""Episode 1""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-04-27,SS,7.2,57,5,Second Doctor,Patrick Troughton
205,43,7,36,The Wheel in Space,"""Episode 2""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-05-04,SS,6.9,60,5,Second Doctor,Patrick Troughton
206,43,7,37,The Wheel in Space,"""Episode 3""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-05-11,SS,7.5,55,5,Second Doctor,Patrick Troughton
207,43,7,38,The Wheel in Space,"""Episode 4""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-05-18,SS,8.6,56,5,Second Doctor,Patrick Troughton
208,43,7,39,The Wheel in Space,"""Episode 5""†",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-05-25,SS,6.8,57,5,Second Doctor,Patrick Troughton
209,43,7,40,The Wheel in Space,"""Episode 6""",Tristan DeVere Cole,David Whitaker and Kit Pedler (story),1968-06-01,SS,6.5,62,5,Second Doctor,Patrick Troughton
210,44,1,1,The Dominators,"""Episode 1""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),1968-08-10,TT,6.1,52,6,Second Doctor,Patrick Troughton
211,44,1,2,The Dominators,"""Episode 2""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),1968-08-17,TT,5.9,55,6,Second Doctor,Patrick Troughton
212,44,1,3,The Dominators,"""Episode 3""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),1968-08-24,TT,5.4,55,6,Second Doctor,Patrick Troughton
213,44,1,4,The Dominators,"""Episode 4""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),1968-08-31,TT,7.5,51,6,Second Doctor,Patrick Troughton
214,44,1,5,The Dominators,"""Episode 5""",Morris Barry,Norman Ashby (Mervyn Haisman and Henry Lincoln),1968-09-07,TT,5.9,53,6,Second Doctor,Patrick Troughton
215,45,2,6,The Mind Robber,"""Episode 1""",David Maloney,Derrick Sherwin,1968-09-14,UU,6.6,51,6,Second Doctor,Patrick Troughton
216,45,2,7,The Mind Robber,"""Episode 2""",David Maloney,Peter Ling,1968-09-21,UU,6.5,49,6,Second Doctor,Patrick Troughton
217,45,2,8,The Mind Robber,"""Episode 3""",David Maloney,Peter Ling,1968-09-28,UU,7.2,53,6,Second Doctor,Patrick Troughton
218,45,2,9,The Mind Robber,"""Episode 4""",David Maloney,Peter Ling,1968-10-05,UU,7.3,56,6,Second Doctor,Patrick Troughton
219,45,2,10,The Mind Robber,"""Episode 5""",David Maloney,Peter Ling,1968-10-12,UU,6.7,49,6,Second Doctor,Patrick Troughton
220,46,3,11,The Invasion,"""Episode One""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-11-02,VV,7.3,55,6,Second Doctor,Patrick Troughton
221,46,3,12,The Invasion,"""Episode ""Two""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-11-09,VV,7.1,53,6,Second Doctor,Patrick Troughton
222,46,3,13,The Invasion,"""Episode Three""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-11-16,VV,7.1,54,6,Second Doctor,Patrick Troughton
223,46,3,14,The Invasion,"""Episode Four""†",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-11-23,VV,6.4,51,6,Second Doctor,Patrick Troughton
224,46,3,15,The Invasion,"""Episode Five""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-11-30,VV,6.7,52,6,Second Doctor,Patrick Troughton
225,46,3,16,The Invasion,"""Episode Six""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-12-07,VV,6.5,56,6,Second Doctor,Patrick Troughton
226,46,3,17,The Invasion,"""Episode Seven""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-12-14,VV,7.2,55,6,Second Doctor,Patrick Troughton
227,46,3,18,The Invasion,"""Episode Eight""",Douglas Camfield,Derrick Sherwin and Kit Pedler (story),1968-12-21,VV,7.0,53,6,Second Doctor,Patrick Troughton
228,47,4,19,The Krotons,"""Episode One""",David Maloney,Robert Holmes,1968-12-28,WW,9.0,59,6,Second Doctor,Patrick Troughton
229,47,4,20,The Krotons,"""Episode Two""",David Maloney,Robert Holmes,1969-01-04,WW,8.4,57,6,Second Doctor,Patrick Troughton
230,47,4,21,The Krotons,"""Episode Three""",David Maloney,Robert Holmes,1969-01-11,WW,7.5,56,6,Second Doctor,Patrick Troughton
231,47,4,22,The Krotons,"""Episode Four""",David Maloney,Robert Holmes,1969-01-18,WW,7.1,55,6,Second Doctor,Patrick Troughton
232,48,5,23,The Seeds of Death,"""Episode One""",Michael Ferguson,Brian Hayles,1969-01-25,XX,6.6,57,6,Second Doctor,Patrick Troughton
233,48,5,24,The Seeds of Death,"""Episode Two""",Michael Ferguson,Brian Hayles,1969-02-01,XX,6.8,59,6,Second Doctor,Patrick Troughton
234,48,5,25,The Seeds of Death,"""Episode Three""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1969-02-08,XX,7.5,55,6,Second Doctor,Patrick Troughton
235,48,5,26,The Seeds of Death,"""Episode Four""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1969-02-15,XX,7.1,55,6,Second Doctor,Patrick Troughton
236,48,5,27,The Seeds of Death,"""Episode Five""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1969-02-22,XX,7.6,57,6,Second Doctor,Patrick Troughton
237,48,5,28,The Seeds of Death,"""Episode Six""",Michael Ferguson,Brian Hayles and Terrance Dicks (uncredited),1969-03-01,XX,7.7,59,6,Second Doctor,Patrick Troughton
238,49,6,29,The Space Pirates,"""Episode One""†",Michael Hart,Robert Holmes,1969-03-08,YY,5.8,57,6,Second Doctor,Patrick Troughton
239,49,6,30,The Space Pirates,"""Episode Two""",Michael Hart,Robert Holmes,1969-03-15,YY,6.8,52,6,Second Doctor,Patrick Troughton
240,49,6,31,The Space Pirates,"""Episode Three""†",Michael Hart,Robert Holmes,1969-03-22,YY,6.4,55,6,Second Doctor,Patrick Troughton
241,49,6,32,The Space Pirates,"""Episode Four""†",Michael Hart,Robert Holmes,1969-03-29,YY,5.8,53,6,Second Doctor,Patrick Troughton
242,49,6,33,The Space Pirates,"""Episode Five""†",Michael Hart,Robert Holmes,1969-04-05,YY,5.5,56,6,Second Doctor,Patrick Troughton
243,49,6,34,The Space Pirates,"""Episode Six""†",Michael Hart,Robert Holmes,1969-04-12,YY,5.3,52,6,Second Doctor,Patrick Troughton
244,50,7,35,The War Games,"""Episode One""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-04-19,ZZ,5.5,55,6,Second Doctor,Patrick Troughton
245,50,7,36,The War Games,"""Episode Two""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-04-26,ZZ,6.3,54,6,Second Doctor,Patrick Troughton
246,50,7,37,The War Games,"""Episode Three""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-05-03,ZZ,5.1,53,6,Second Doctor,Patrick Troughton
247,50,7,38,The War Games,"""Episode Four""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-05-10,ZZ,5.7,50,6,Second Doctor,Patrick Troughton
248,50,7,39,The War Games,"""Episode Five""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-05-17,ZZ,5.1,53,6,Second Doctor,Patrick Troughton
249,50,7,40,The War Games,"""Episode Six""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-05-24,ZZ,4.2,53,6,Second Doctor,Patrick Troughton
250,50,7,41,The War Games,"""Episode Seven""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-05-31,ZZ,4.9,53,6,Second Doctor,Patrick Troughton
251,50,7,42,The War Games,"""Episode Eight""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-06-07,ZZ,3.5,53,6,Second Doctor,Patrick Troughton
252,50,7,43,The War Games,"""Episode Nine""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-06-14,ZZ,4.1,57,6,Second Doctor,Patrick Troughton
253,50,7,44,The War Games,"""Episode Ten""",David Maloney,Terrance Dicks and Malcolm Hulke,1969-06-21,ZZ,5.0,58,6,Second Doctor,Patrick Troughton
254,51,1,1,Spearhead from Space,"""Episode 1""",Derek Martinus,Robert Holmes,1970-01-03,AAA,8.4,54,7,Third Doctor,Jon Pertwee
255,51,1,2,Spearhead from Space,"""Episode 2""",Derek Martinus,Robert Holmes,1970-01-10,AAA,8.1,54,7,Third Doctor,Jon Pertwee
256,51,1,3,Spearhead from Space,"""Episode 3""",Derek Martinus,Robert Holmes,1970-01-17,AAA,8.3,54,7,Third Doctor,Jon Pertwee
257,51,1,4,Spearhead from Space,"""Episode 4""",Derek Martinus,Robert Holmes,1970-01-24,AAA,8.1,57,7,Third Doctor,Jon Pertwee
258,52,2,5,Doctor Who and the Silurians,"""Episode 1""",Timothy Combe,Malcolm Hulke,1970-01-31,BBB,8.8,58,7,Third Doctor,Jon Pertwee
259,52,2,6,Doctor Who and the Silurians,"""Episode 2""",Timothy Combe,Malcolm Hulke,1970-02-07,BBB,7.3,58,7,Third Doctor,Jon Pertwee
260,52,2,7,Doctor Who and the Silurians,"""Episode 3""",Timothy Combe,Malcolm Hulke,1970-02-14,BBB,7.5,57,7,Third Doctor,Jon Pertwee
261,52,2,8,Doctor Who and the Silurians,"""Episode 4""",Timothy Combe,Malcolm Hulke,1970-02-21,BBB,8.2,60,7,Third Doctor,Jon Pertwee
262,52,2,9,Doctor Who and the Silurians,"""Episode 5""",Timothy Combe,Malcolm Hulke,1970-02-28,BBB,7.5,58,7,Third Doctor,Jon Pertwee
263,52,2,10,Doctor Who and the Silurians,"""Episode 6""",Timothy Combe,Malcolm Hulke,1970-03-07,BBB,7.2,57,7,Third Doctor,Jon Pertwee
264,52,2,11,Doctor Who and the Silurians,"""Episode 7""",Timothy Combe,Malcolm Hulke,1970-03-14,BBB,7.5,58,7,Third Doctor,Jon Pertwee
265,53,3,12,The Ambassadors of Death,"""Episode 1""",Michael Ferguson,David Whitaker and Trevor Ray (uncredited),1970-03-21,CCC,7.1,60,7,Third Doctor,Jon Pertwee
266,53,3,13,The Ambassadors of Death,"""Episode 2""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-03-28,CCC,7.6,61,7,Third Doctor,Jon Pertwee
267,53,3,14,The Ambassadors of Death,"""Episode 3""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-04-04,CCC,8.0,59,7,Third Doctor,Jon Pertwee
268,53,3,15,The Ambassadors of Death,"""Episode 4""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-04-11,CCC,9.3,58,7,Third Doctor,Jon Pertwee
269,53,3,16,The Ambassadors of Death,"""Episode 5""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-04-18,CCC,7.1,58,7,Third Doctor,Jon Pertwee
270,53,3,17,The Ambassadors of Death,"""Episode 6""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-04-25,CCC,6.9,61,7,Third Doctor,Jon Pertwee
271,53,3,18,The Ambassadors of Death,"""Episode 7""",Michael Ferguson,"David Whitaker, Malcolm Hulke (uncredited), and Terrance Dicks (uncredited)",1970-05-02,CCC,6.4,62,7,Third Doctor,Jon Pertwee
272,54,4,19,Inferno,"""Episode 1""",Douglas Camfield,Don Houghton,1970-05-09,DDD,5.7,61,7,Third Doctor,Jon Pertwee
273,54,4,20,Inferno,"""Episode 2""",Douglas Camfield,Don Houghton,1970-05-16,DDD,5.9,61,7,Third Doctor,Jon Pertwee
274,54,4,21,Inferno,"""Episode 3""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,1970-05-23,DDD,4.8,60,7,Third Doctor,Jon Pertwee
275,54,4,22,Inferno,"""Episode 4""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,1970-05-30,DDD,6.0,60,7,Third Doctor,Jon Pertwee
276,54,4,23,Inferno,"""Episode 5""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,1970-06-06,DDD,5.4,60,7,Third Doctor,Jon Pertwee
277,54,4,24,Inferno,"""Episode 6""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,1970-06-13,DDD,6.7,58,7,Third Doctor,Jon Pertwee
278,54,4,25,Inferno,"""Episode 7""",Douglas Camfield and Barry Letts (uncredited),Don Houghton,1970-06-20,DDD,5.5,60,7,Third Doctor,Jon Pertwee
279,55,1,1,Terror of the Autons,"""Episode One""",Barry Letts,Robert Holmes,1971-01-02,EEE,7.3,60,8,Third Doctor,Jon Pertwee
280,55,1,2,Terror of the Autons,"""Episode Two""",Barry Letts,Robert Holmes,1971-01-09,EEE,8.0,60,8,Third Doctor,Jon Pertwee
281,55,1,3,Terror of the Autons,"""Episode Three""",Barry Letts,Robert Holmes,1971-01-16,EEE,8.1,60,8,Third Doctor,Jon Pertwee
282,55,1,4,Terror of the Autons,"""Episode Four""",Barry Letts,Robert Holmes,1971-01-23,EEE,8.4,60,8,Third Doctor,Jon Pertwee
283,56,2,5,The Mind of Evil,"""Episode One""",Timothy Combe,Don Houghton,1971-01-30,FFF,6.1,60,8,Third Doctor,Jon Pertwee
284,56,2,6,The Mind of Evil,"""Episode Two""",Timothy Combe,Don Houghton,1971-02-06,FFF,8.8,60,8,Third Doctor,Jon Pertwee
285,56,2,7,The Mind of Evil,"""Episode Three""",Timothy Combe,Don Houghton,1971-02-13,FFF,7.5,60,8,Third Doctor,Jon Pertwee
286,56,2,8,The Mind of Evil,"""Episode Four""",Timothy Combe,Don Houghton,1971-02-20,FFF,7.4,60,8,Third Doctor,Jon Pertwee
287,56,2,9,The Mind of Evil,"""Episode Five""",Timothy Combe,Don Houghton,1971-02-27,FFF,7.6,60,8,Third Doctor,Jon Pertwee
288,56,2,10,The Mind of Evil,"""Episode Six""",Timothy Combe,Don Houghton,1971-03-06,FFF,7.3,60,8,Third Doctor,Jon Pertwee
289,57,3,11,The Claws of Axos,"""Episode One""",Michael Ferguson,Bob Baker and Dave Martin,1971-03-13,GGG,7.3,60,8,Third Doctor,Jon Pertwee
290,57,3,12,The Claws of Axos,"""Episode Two""",Michael Ferguson,Bob Baker and Dave Martin,1971-03-20,GGG,8.0,60,8,Third Doctor,Jon Pertwee
291,57,3,13,The Claws of Axos,"""Episode Three""",Michael Ferguson,Bob Baker and Dave Martin,1971-03-27,GGG,6.4,60,8,Third Doctor,Jon Pertwee
292,57,3,14,The Claws of Axos,"""Episode Four""",Michael Ferguson,Bob Baker and Dave Martin,1971-04-03,GGG,7.8,60,8,Third Doctor,Jon Pertwee
293,58,4,15,Colony in Space,"""Episode One""",Michael E. Briant,Malcolm Hulke,1971-04-10,HHH,7.6,60,8,Third Doctor,Jon Pertwee
294,58,4,16,Colony in Space,"""Episode Two""",Michael E. Briant,Malcolm Hulke,1971-04-17,HHH,8.5,60,8,Third Doctor,Jon Pertwee
295,58,4,17,Colony in Space,"""Episode Three""",Michael E. Briant,Malcolm Hulke,1971-04-24,HHH,9.5,60,8,Third Doctor,Jon Pertwee
296,58,4,18,Colony in Space,"""Episode Four""",Michael E. Briant,Malcolm Hulke,1971-05-01,HHH,8.1,60,8,Third Doctor,Jon Pertwee
297,58,4,19,Colony in Space,"""Episode Five""",Michael E. Briant,Malcolm Hulke,1971-05-08,HHH,8.8,60,8,Third Doctor,Jon Pertwee
298,58,4,20,Colony in Space,"""Episode Six""",Michael E. Briant,Malcolm Hulke,1971-05-15,HHH,8.7,60,8,Third Doctor,Jon Pertwee
299,59,5,21,The Dæmons,"""Episode One""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-05-22,JJJ,9.2,60,8,Third Doctor,Jon Pertwee
300,59,5,22,The Dæmons,"""Episode Two""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-05-29,JJJ,8.0,60,8,Third Doctor,Jon Pertwee
301,59,5,23,The Dæmons,"""Episode Three""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-05,JJJ,8.1,60,8,Third Doctor,Jon Pertwee
302,59,5,24,The Dæmons,"""Episode Four""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-12,JJJ,8.1,60,8,Third Doctor,Jon Pertwee
303,59,5,25,The Dæmons,"""Episode Five""",Christopher Barry,Guy Leopold (Robert Sloman and Barry Letts),1971-06-19,JJJ,8.3,60,8,Third Doctor,Jon Pertwee
304,60,1,1,Day of the Daleks,"""Episode One""",Paul Bernard,Louis Marks,1972-01-01,KKK,9.8,60,9,Third Doctor,Jon Pertwee
305,60,1,2,Day of the Daleks,"""Episode Two""",Paul Bernard,Louis Marks,1972-01-08,KKK,10.4,60,9,Third Doctor,Jon Pertwee
306,60,1,3,Day of the Daleks,"""Episode Three""",Paul Bernard,Louis Marks,1972-01-15,KKK,9.1,60,9,Third Doctor,Jon Pertwee
307,60,1,4,Day of the Daleks,"""Episode Four""",Paul Bernard,Louis Marks,1972-01-22,KKK,9.1,60,9,Third Doctor,Jon Pertwee
308,61,2,5,The Curse of Peladon,"""Episode One""",Lennie Mayne,Brian Hayles,1972-01-29,MMM,10.3,60,9,Third Doctor,Jon Pertwee
309,61,2,6,The Curse of Peladon,"""Episode Two""",Lennie Mayne,Brian Hayles,1972-02-05,MMM,11.0,60,9,Third Doctor,Jon Pertwee
310,61,2,7,The Curse of Peladon,"""Episode Three""",Lennie Mayne,Brian Hayles,1972-02-12,MMM,7.8,60,9,Third Doctor,Jon Pertwee
311,61,2,8,The Curse of Peladon,"""Episode Four""",Lennie Mayne,Brian Hayles,1972-02-19,MMM,8.4,60,9,Third Doctor,Jon Pertwee
312,62,3,9,The Sea Devils,"""Episode One""",Michael E. Briant,Malcolm Hulke,1972-02-26,LLL,6.4,60,9,Third Doctor,Jon Pertwee
313,62,3,10,The Sea Devils,"""Episode Two""",Michael E. Briant,Malcolm Hulke,1972-03-04,LLL,9.7,60,9,Third Doctor,Jon Pertwee
314,62,3,11,The Sea Devils,"""Episode Three""",Michael E. Briant,Malcolm Hulke,1972-03-11,LLL,8.3,60,9,Third Doctor,Jon Pertwee
315,62,3,12,The Sea Devils,"""Episode Four""",Michael E. Briant,Malcolm Hulke,1972-03-18,LLL,7.8,60,9,Third Doctor,Jon Pertwee
316,62,3,13,The Sea Devils,"""Episode Five""",Michael E. Briant,Malcolm Hulke,1972-03-25,LLL,8.3,60,9,Third Doctor,Jon Pertwee
317,62,3,14,The Sea Devils,"""Episode Six""",Michael E. Briant,Malcolm Hulke,1972-04-01,LLL,8.5,60,9,Third Doctor,Jon Pertwee
318,63,4,15,The Mutants,"""Episode One""",Christopher Barry,Bob Baker and Dave Martin,1972-04-08,NNN,9.1,60,9,Third Doctor,Jon Pertwee
319,63,4,16,The Mutants,"""Episode Two""",Christopher Barry,Bob Baker and Dave Martin,1972-04-15,NNN,7.8,60,9,Third Doctor,Jon Pertwee
320,63,4,17,The Mutants,"""Episode Three""",Christopher Barry,Bob Baker and Dave Martin,1972-04-22,NNN,7.9,60,9,Third Doctor,Jon Pertwee
321,63,4,18,The Mutants,"""Episode Four""",Christopher Barry,Bob Baker and Dave Martin,1972-04-29,NNN,7.5,60,9,Third Doctor,Jon Pertwee
322,63,4,19,The Mutants,"""Episode Five""",Christopher Barry,Bob Baker and Dave Martin,1972-05-06,NNN,7.9,60,9,Third Doctor,Jon Pertwee
323,63,4,20,The Mutants,"""Episode Six""",Christopher Barry,Bob Baker and Dave Martin,1972-05-13,NNN,6.5,60,9,Third Doctor,Jon Pertwee
324,64,5,21,The Time Monster,"""Episode One""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-05-20,OOO,7.6,60,9,Third Doctor,Jon Pertwee
325,64,5,22,The Time Monster,"""Episode Two""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-05-27,OOO,7.4,60,9,Third Doctor,Jon Pertwee
326,64,5,23,The Time Monster,"""Episode Three""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-03,OOO,8.1,60,9,Third Doctor,Jon Pertwee
327,64,5,24,The Time Monster,"""Episode Four""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-10,OOO,7.6,60,9,Third Doctor,Jon Pertwee
328,64,5,25,The Time Monster,"""Episode Five""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-17,OOO,6.0,60,9,Third Doctor,Jon Pertwee
329,64,5,26,The Time Monster,"""Episode Six""",Paul Bernard,Robert Sloman and Barry Letts (uncredited),1972-06-24,OOO,7.6,60,9,Third Doctor,Jon Pertwee
330,65,1,1,The Three Doctors,"""Episode One""",Lennie Mayne,Bob Baker and Dave Martin,1972-12-30,RRR,9.6,60,10,Third Doctor,Jon Pertwee
331,65,1,2,The Three Doctors,"""Episode Two""",Lennie Mayne,Bob Baker and Dave Martin,1973-01-06,RRR,10.8,60,10,Third Doctor,Jon Pertwee
332,65,1,3,The Three Doctors,"""Episode Three""",Lennie Mayne,Bob Baker and Dave Martin,1973-01-13,RRR,8.8,60,10,Third Doctor,Jon Pertwee
333,65,1,4,The Three Doctors,"""Episode Four""",Lennie Mayne,Bob Baker and Dave Martin,1973-01-20,RRR,11.9,60,10,Third Doctor,Jon Pertwee
334,66,2,5,Carnival of Monsters,"""Episode One""",Barry Letts,Robert Holmes,1973-01-27,PPP,9.5,60,10,Third Doctor,Jon Pertwee
335,66,2,6,Carnival of Monsters,"""Episode Two""",Barry Letts,Robert Holmes,1973-02-03,PPP,9.0,60,10,Third Doctor,Jon Pertwee
336,66,2,7,Carnival of Monsters,"""Episode Three""",Barry Letts,Robert Holmes,1973-02-10,PPP,9.0,60,10,Third Doctor,Jon Pertwee
337,66,2,8,Carnival of Monsters,"""Episode Four""",Barry Letts,Robert Holmes,1973-02-17,PPP,9.2,60,10,Third Doctor,Jon Pertwee
338,67,3,9,Frontier in Space,"""Episode One""",Paul Bernard,Malcolm Hulke,1973-02-24,QQQ,9.1,60,10,Third Doctor,Jon Pertwee
339,67,3,10,Frontier in Space,"""Episode Two""",Paul Bernard,Malcolm Hulke,1973-03-03,QQQ,7.8,60,10,Third Doctor,Jon Pertwee
340,67,3,11,Frontier in Space,"""Episode Three""",Paul Bernard,Malcolm Hulke,1973-03-10,QQQ,7.5,60,10,Third Doctor,Jon Pertwee
341,67,3,12,Frontier in Space,"""Episode Four""",Paul Bernard,Malcolm Hulke,1973-03-17,QQQ,7.1,60,10,Third Doctor,Jon Pertwee
342,67,3,13,Frontier in Space,"""Episode Five""",Paul Bernard,Malcolm Hulke,1973-03-24,QQQ,7.7,60,10,Third Doctor,Jon Pertwee
343,67,3,14,Frontier in Space,"""Episode Six""",Paul Bernard,Malcolm Hulke,1973-03-31,QQQ,8.9,60,10,Third Doctor,Jon Pertwee
344,68,4,15,Planet of the Daleks,"""Episode One""",David Maloney,Terry Nation,1973-04-07,SSS,11.0,60,10,Third Doctor,Jon Pertwee
345,68,4,16,Planet of the Daleks,"""Episode Two""",David Maloney,Terry Nation,1973-04-14,SSS,10.7,60,10,Third Doctor,Jon Pertwee
346,68,4,17,Planet of the Daleks,"""Episode Three""",David Maloney,Terry Nation,1973-04-21,SSS,10.1,60,10,Third Doctor,Jon Pertwee
347,68,4,18,Planet of the Daleks,"""Episode Four""",David Maloney,Terry Nation,1973-04-28,SSS,8.3,60,10,Third Doctor,Jon Pertwee
348,68,4,19,Planet of the Daleks,"""Episode Five""",David Maloney,Terry Nation,1973-05-05,SSS,9.7,60,10,Third Doctor,Jon Pertwee
349,68,4,20,Planet of the Daleks,"""Episode Six""",David Maloney,Terry Nation,1973-05-12,SSS,8.5,60,10,Third Doctor,Jon Pertwee
350,69,5,21,The Green Death,"""Episode One""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-05-19,TTT,9.2,60,10,Third Doctor,Jon Pertwee
351,69,5,22,The Green Death,"""Episode Two""",Michael E. Briant,Robert Sloman and Barry Letts (uncredited),1973-05-26,TTT,7.2,60,10,Third Doctor,Jon Pertwee
